Section,Field,Value
Project Basic Info,Name,Coinbax
Project Basic Info,Tagline,Stablecoin Payment Infrastructure
Project Basic Info,Transparency Score,
Project Basic Info,Website,https://www.coinbax.com/
Project Basic Info,X Handle,@CoinbaxHQ
Project Basic Info,X URL,https://www.coinbax.com/
Metrics,RD Popularity Index,55
Metrics,RD Popularity Change,-5.43%
Metrics,RD Popularity Rank,107/19147
Metrics,RD Growth Index,55
Metrics,RD Growth Change,-5.43%
Metrics,RD Growth Rank,107/19147
Comparison Data,Total Raised,$4.2M
Comparison Data,Total Raised Rank,Top 23%
Comparison Data,FDV,--
Comparison Data,24h Trading Volume,--
Team,Member 1 - Name,Peter Glyman
Team,Member 1 - Role,Founder and Chief Executive Officer
Team,Member 1 - X URL,
Team,Member 1 - LinkedIn URL,
Team,Member 1 - Profile Image,https://public.rootdata.com/images/b55/1766912605098.jpg
Team,Member 1 - Profile URL,https://www.rootdata.com/member/Peter%20Glyman?k=Mjk4NjE%3D
Team,Member 2 - Name,Justin Seidl
Team,Member 2 - Role,
Team,Member 2 - X URL,
Team,Member 2 - LinkedIn URL,
Team,Member 2 - Profile Image,https://public.rootdata.com/images/b55/1766912789342.jpg
Team,Member 2 - Profile URL,https://www.rootdata.com/member/Justin%20Seidl?k=Mjk4NjI%3D
Team,Member 3 - Name,sanyi.eth
Team,Member 3 - Role,
Team,Member 3 - X URL,
Team,Member 3 - LinkedIn URL,
Team,Member 3 - Profile Image,https://public.rootdata.com/images/b6/1742197591586.jpg
Team,Member 3 - Profile URL,https://www.rootdata.com/member/sanyi.eth?k=MjM0OTA%3D
Team,Member 4 - Name,Rob Hadick
Team,Member 4 - Role,
Team,Member 4 - X URL,
Team,Member 4 - LinkedIn URL,
Team,Member 4 - Profile Image,https://public.rootdata.com/images/b30/1686319544322.jpg
Team,Member 4 - Profile URL,https://www.rootdata.com/member/Rob%20Hadick?k=MTUxMjA%3D
Team,Member 5 - Name,zac.eth
Team,Member 5 - Role,
Team,Member 5 - X URL,
Team,Member 5 - LinkedIn URL,
Team,Member 5 - Profile Image,https://public.rootdata.com/images/b6/1745289945997.jpg
Team,Member 5 - Profile URL,https://www.rootdata.com/member/zac.eth?k=MjQyMzA%3D
Team,Member 6 - Name,BlockP unk
Team,Member 6 - Role,
Team,Member 6 - X URL,
Team,Member 6 - LinkedIn URL,
Team,Member 6 - Profile Image,https://public.rootdata.com/images/b6/1711648250203.jpg
Team,Member 6 - Profile URL,https://www.rootdata.com/member/BlockPunk?k=MTkwODU%3D
Team,Member 7 - Name,spark
Team,Member 7 - Role,
Team,Member 7 - X URL,
Team,Member 7 - LinkedIn URL,
Team,Member 7 - Profile Image,https://public.rootdata.com/images/b69/1750490801313_128x128.webp
Team,Member 7 - Profile URL,https://www.rootdata.com/member/spark?k=MjUyMzk%3D
Investors,Investor 1 - Name,Paxos
Investors,Investor 1 - Logo,https://public.rootdata.com/images/b16/1666773577185_128x128.webp
Investors,Investor 1 - URL,https://www.rootdata.com/Projects/detail/Paxos?k=NDEzNg%3D%3D
Investors,Investor 2 - Name,Connecticut Innovations
Investors,Investor 2 - Logo,https://public.rootdata.com/images/b12/1666857645526_128x128.webp
Investors,Investor 2 - URL,https://www.rootdata.com/Investors/detail/Connecticut%20Innovations?k=MTA4NTQ%3D
Details,Description,"More
                
          119
          
            6.25%
                             Details Coinbax is a stablecoin payment infrastructure that introduces programmable controls and automated settlement logic, ensuring secure and reliable stablecoin and tokenized deposit channels for banks, fintech companies, and corporate payments"
Details,Tags,"Payment, payment, infrastructure, Infrastructure, platform, Platform"
Details,Founded Year,2025
Ratings,Overall Rating,55.0
Ratings,User Count,1695
Similar Projects,Project 1 - Name,Tribal Credit
Similar Projects,Project 1 - Description,Crypto-focused enterprise payment platform
Similar Projects,Project 1 - URL,https://www.rootdata.com/Projects/detail/Tribal%20Credit?k=MzQ0NQ%3D%3D
Similar Projects,Project 2 - Name,Ramp Network
Similar Projects,Project 2 - Description,Full-stack payment infrastructure
Similar Projects,Project 2 - URL,https://www.rootdata.com/Projects/detail/Ramp%20Network?k=NDIxNA%3D%3D
Similar Projects,Project 3 - Name,Airtm
Similar Projects,Project 3 - Description,Globally connected digital dollar account
Similar Projects,Project 3 - URL,https://www.rootdata.com/Projects/detail/Airtm?k=NzI0NQ%3D%3D
Similar Projects,Project 4 - Name,OpenNode
Similar Projects,Project 4 - Description,Bitcoin payments solution
Similar Projects,Project 4 - URL,https://www.rootdata.com/Projects/detail/OpenNode?k=NDYwNA%3D%3D
Similar Projects,Project 5 - Name,Velo
Similar Projects,Project 5 - Description,"Blockchain-based, compliance-first global settlement network"
Similar Projects,Project 5 - URL,https://www.rootdata.com/Projects/detail/Velo?k=MTUyNg%3D%3D
Metadata,Scraped At,2026-01-06T13:29:01.652128
Metadata,URL,https://www.rootdata.com/Projects/detail/Coinbax?k=MjMwMTk%3D
Metadata,Page Title,"Coinbax Project Introduction, Team, Financing and News_RootData"
